Solar,Ultra,Lidar,Temp
176.00,20.68,231.00,174
176.00,20.68,232.00,174
176.00,20.68,232.00,173
177.00,20.68,231.00,173
176.00,20.68,232.00,174
176.00,20.68,233.00,174
177.00,20.68,232.00,174
176.00,20.68,232.00,174
177.00,20.68,232.00,174
177.00,20.68,232.00,173
177.00,20.68,233.00,173
176.00,20.63,231.00,174
176.00,20.59,231.00,174
175.00,20.63,232.00,174
176.00,20.63,232.00,174
176.00,20.63,232.00,173
176.00,20.63,231.00,173
176.00,20.63,233.00,173
175.00,20.63,232.00,173
176.00,20.68,232.00,173
176.00,20.68,232.00,173
177.00,20.63,231.00,173
176.00,20.63,232.00,173
176.00,20.63,232.00,173
176.00,20.68,231.00,172
176.00,20.68,232.00,174
176.00,20.68,231.00,173
176.00,20.68,232.00,173
176.00,20.68,231.00,173
176.00,20.63,232.00,173
175.00,20.63,232.00,173
176.00,20.63,232.00,173
178.00,20.63,232.00,174
178.00,20.63,232.00,173
176.00,20.59,233.00,173
176.00,20.59,233.00,173
177.00,20.59,232.00,174
177.00,20.59,231.00,174
180.00,20.59,231.00,173
185.00,20.59,232.00,174
186.00,20.54,233.00,174
185.00,20.59,231.00,174
184.00,20.54,232.00,174
184.00,20.54,231.00,175
185.00,20.54,232.00,175
183.00,20.54,231.00,174
185.00,20.54,231.00,174
184.00,20.59,232.00,174
183.00,20.59,232.00,175
184.00,20.59,231.00,174
13.00,20.59,231.00,174
187.00,20.59,233.00,174
186.00,20.59,232.00,174
186.00,20.59,232.00,175
185.00,20.63,232.00,174
185.00,20.63,232.00,175
185.00,20.63,232.00,174
185.00,20.63,233.00,174
184.00,20.68,231.00,174
185.00,20.68,232.00,174
184.00,20.68,230.00,175
184.00,20.63,231.00,174
184.00,20.63,232.00,174
183.00,20.63,232.00,174
185.00,20.63,232.00,174
185.00,20.59,232.00,175
184.00,20.63,233.00,175
184.00,20.63,232.00,174
184.00,20.63,232.00,174
184.00,20.63,232.00,174
185.00,20.63,232.00,175
184.00,20.68,231.00,174
184.00,20.68,232.00,174
184.00,20.68,232.00,174
184.00,20.63,231.00,174
184.00,20.63,231.00,174
185.00,20.68,232.00,174
185.00,20.63,232.00,174
184.00,20.63,232.00,174
184.00,20.63,231.00,174
183.00,20.63,232.00,175
183.00,20.63,232.00,175
182.00,20.63,231.00,174
183.00,20.63,232.00,174
183.00,20.68,233.00,174
183.00,20.68,233.00,175
184.00,20.63,231.00,174
183.00,20.63,233.00,174
183.00,20.63,231.00,174
182.00,20.63,233.00,174
182.00,20.68,232.00,174
181.00,20.63,232.00,174
182.00,20.63,233.00,174
182.00,20.63,231.00,174
182.00,20.68,232.00,174
184.00,20.68,231.00,174
184.00,20.68,231.00,174
183.00,20.68,231.00,174
183.00,20.68,232.00,175
183.00,20.68,231.00,174
183.00,20.68,232.00,174
183.00,20.68,232.00,174
183.00,20.68,231.00,174
183.00,20.63,231.00,174
183.00,20.68,231.00,173
183.00,20.68,232.00,174
184.00,20.68,232.00,175
184.00,20.68,232.00,174
182.00,20.72,233.00,174
183.00,20.68,232.00,174
183.00,20.68,231.00,174
183.00,20.68,232.00,174
183.00,20.72,232.00,174
183.00,20.68,232.00,174
184.00,20.68,232.00,174
184.00,20.68,232.00,174
183.00,20.68,231.00,174
183.00,20.68,232.00,174
184.00,20.68,232.00,174
183.00,20.63,231.00,174
183.00,20.63,232.00,174
184.00,20.63,231.00,174
182.00,20.59,232.00,174
183.00,20.59,231.00,174
183.00,20.59,233.00,174
181.00,20.59,233.00,174
181.00,20.63,232.00,175
181.00,20.59,232.00,174
182.00,20.59,232.00,174
182.00,20.59,233.00,174
182.00,20.59,233.00,174
182.00,20.63,231.00,174
181.00,20.63,231.00,175
181.00,20.63,231.00,174
181.00,20.63,232.00,174
182.00,20.68,233.00,174
181.00,20.68,233.00,173
182.00,20.63,232.00,174
181.00,20.63,233.00,174
181.00,20.59,232.00,174
181.00,20.63,232.00,173
182.00,20.63,233.00,173
182.00,20.63,232.00,173
183.00,20.63,232.00,174
182.00,20.63,232.00,174
182.00,20.63,232.00,174
182.00,20.63,231.00,173
182.00,20.63,231.00,173
182.00,20.63,232.00,174
181.00,20.63,232.00,174
181.00,20.63,232.00,174
182.00,20.63,231.00,174
181.00,20.63,232.00,174
181.00,20.63,232.00,173
182.00,20.63,231.00,173
181.00,20.63,233.00,174
182.00,20.63,232.00,174
181.00,20.63,233.00,174
182.00,20.63,232.00,174
181.00,20.59,233.00,173
181.00,20.63,231.00,173
181.00,20.63,232.00,174
181.00,20.63,232.00,174
181.00,20.63,232.00,174
180.00,20.63,232.00,174
180.00,20.63,231.00,173
181.00,20.63,232.00,173
180.00,20.63,232.00,173
180.00,20.63,232.00,174
180.00,20.63,232.00,174
180.00,20.63,231.00,174
180.00,20.63,233.00,174
180.00,20.59,233.00,173
179.00,20.59,233.00,174
181.00,20.59,231.00,174
179.00,20.54,231.00,174
181.00,20.54,231.00,174
180.00,20.54,233.00,174
180.00,20.50,232.00,173
179.00,20.54,233.00,173
180.00,20.50,232.00,174
179.00,20.50,232.00,174
179.00,20.50,232.00,175
180.00,20.50,232.00,174
179.00,20.50,233.00,174
179.00,20.45,231.00,173
180.00,20.45,232.00,173
180.00,20.41,232.00,174
181.00,20.41,231.00,174
180.00,20.41,232.00,174
179.00,20.41,231.00,174
180.00,20.41,232.00,174
181.00,20.41,232.00,174
182.00,20.41,232.00,173
182.00,20.41,231.00,174
180.00,20.45,232.00,174
181.00,20.45,232.00,174
181.00,20.45,231.00,174
180.00,20.45,231.00,174
180.00,20.45,232.00,173
181.00,20.50,233.00,174
180.00,20.50,233.00,174
180.00,20.50,232.00,174
181.00,20.50,232.00,174
181.00,20.54,231.00,173
180.00,20.54,233.00,173
179.00,20.54,231.00,174
180.00,20.54,233.00,175
179.00,20.54,231.00,174
180.00,20.54,233.00,174
180.00,20.54,232.00,174
179.00,20.50,232.00,174
181.00,20.45,232.00,174
179.00,20.45,232.00,174
179.00,20.45,232.00,175
180.00,20.45,231.00,174
180.00,20.50,232.00,174
180.00,20.45,232.00,172
178.00,20.41,231.00,173
179.00,20.45,233.00,174
178.00,20.45,232.00,175
179.00,20.45,232.00,174
179.00,20.45,232.00,174
180.00,20.45,231.00,174
179.00,20.45,233.00,174
179.00,20.45,232.00,174
179.00,20.45,232.00,175
180.00,20.45,233.00,174
180.00,20.41,232.00,174
179.00,20.41,232.00,174
179.00,20.41,232.00,174
179.00,20.41,233.00,174
179.00,20.45,231.00,175
178.00,20.45,231.00,175
179.00,20.50,232.00,175
179.00,20.50,232.00,174
178.00,20.50,232.00,174
179.00,20.50,233.00,174
179.00,20.50,231.00,174
179.00,20.50,233.00,175
178.00,20.50,232.00,175
179.00,20.50,232.00,174
179.00,20.54,232.00,174
179.00,20.54,232.00,174
178.00,20.54,232.00,174
178.00,20.54,232.00,175
179.00,20.54,232.00,174
179.00,20.54,232.00,174
179.00,20.54,232.00,174
179.00,20.54,232.00,174
179.00,20.54,232.00,174
179.00,20.54,231.00,174
178.00,20.54,231.00,174
179.00,20.54,231.00,173
179.00,20.59,232.00,174
179.00,20.59,231.00,174
179.00,20.59,232.00,174
177.00,20.59,232.00,173
179.00,20.54,232.00,174
177.00,20.54,231.00,174
177.00,20.54,232.00,174
178.00,20.54,233.00,174
179.00,20.54,231.00,174
178.00,20.54,232.00,174
179.00,20.54,232.00,174
179.00,20.54,232.00,173
178.00,20.54,232.00,174
178.00,20.54,232.00,174
178.00,20.54,231.00,174
179.00,20.54,232.00,174
179.00,20.54,232.00,174
179.00,20.54,231.00,174
178.00,20.54,89.00,174
179.00,20.54,232.00,174
179.00,20.59,231.00,174
179.00,20.59,232.00,174
178.00,20.59,231.00,175
180.00,20.59,232.00,174
179.00,20.54,231.00,174
179.00,20.54,231.00,173
178.00,20.54,232.00,174
179.00,20.54,233.00,175
178.00,20.59,232.00,174
179.00,20.59,232.00,174
179.00,20.59,231.00,174
179.00,20.59,230.00,175
179.00,20.59,231.00,175
178.00,20.59,232.00,174
178.00,20.59,232.00,174
178.00,20.59,232.00,174
179.00,20.59,232.00,173
178.00,20.59,233.00,172
178.00,20.59,232.00,173
179.00,20.59,232.00,173
178.00,20.63,231.00,173
178.00,20.59,231.00,173
178.00,20.59,231.00,173
177.00,20.59,232.00,173
178.00,20.59,232.00,173
177.00,20.63,232.00,173
177.00,20.63,232.00,173
178.00,20.63,231.00,173
177.00,20.63,232.00,174
178.00,20.63,232.00,173
177.00,20.63,231.00,174
177.00,20.63,232.00,173
178.00,20.63,232.00,173
178.00,20.63,232.00,174
178.00,20.63,231.00,174
179.00,20.63,232.00,173
179.00,20.63,231.00,174
179.00,20.63,231.00,175
177.00,20.63,233.00,175
179.00,20.63,233.00,174
178.00,20.63,232.00,174
179.00,20.63,232.00,175
178.00,20.63,231.00,175
178.00,20.63,232.00,174
179.00,20.63,232.00,175
178.00,20.63,232.00,175
179.00,20.59,233.00,175
178.00,20.63,232.00,174
178.00,20.63,232.00,174
178.00,20.63,232.00,175
179.00,20.63,232.00,175
179.00,20.63,232.00,175
178.00,20.63,233.00,174
178.00,20.63,231.00,174
179.00,20.63,233.00,175
178.00,20.63,232.00,175
178.00,20.63,232.00,174
179.00,20.63,232.00,174
180.00,20.63,232.00,174
178.00,20.63,232.00,175
178.00,20.59,232.00,175
179.00,20.59,233.00,174
179.00,20.59,231.00,174
179.00,20.59,233.00,175
178.00,20.59,233.00,175
179.00,20.54,232.00,175
178.00,20.59,233.00,174
177.00,20.54,231.00,174
179.00,20.54,232.00,175
178.00,20.59,232.00,175
178.00,20.59,231.00,175
178.00,20.59,232.00,174
178.00,20.59,231.00,174
